M;Mean AUC;Pooled AUC;|Diff|
1;0.8050576264406609;0.8050576264406609;0.0
2;0.8031325783144578;0.8069576739418486;0.003825095627390751
3;0.8001908381042858;0.8052138803470087;0.005023042242722875
4;0.8005668891722293;0.8069014225355634;0.006334533363334116
5;0.8004887622190555;0.8070889272231806;0.00660016500412508
6;0.7986470495095711;0.8053576339408486;0.006710584431277478
7;0.797726193154829;0.8046451161279032;0.006918922973074282
8;0.7965386634665867;0.8036450911272781;0.007106427660691361
9;0.7964365775811062;0.8032888322208054;0.006852254639699185
10;0.7968442961074027;0.8039325983149578;0.007088302207555075
11;0.7968432165349589;0.8041013525338133;0.007258135998854387
12;0.7968886722168055;0.8040201005025125;0.007131428285707009
13;0.7966487623729056;0.8037388434710868;0.007090081098181211
14;0.7965364312679247;0.8037013425335634;0.007164911265638674
15;0.7967061676541914;0.8039763494087352;0.0072701817545437475
16;0.7965749924998125;0.8040326008150204;0.00745760831520792
17;0.796726535810454;0.8040201005025125;0.007293564692058441
18;0.7962893516782363;0.8034575864396609;0.007168234761424586
19;0.7956942344611246;0.8030450761269032;0.007350841665778596
20;0.7955714517862946;0.8029825745643641;0.007411122778069434
